turn, fish, shark
1250, 5598, 2442
1251, 5701, 2419
1252, 5821, 2333
1253, 5978, 2168
1254, 6180, 2308
1255, 6296, 2223
1256, 6476, 2271
1257, 6598, 2224
1258, 6740, 2285
1259, 6881, 2221
1260, 7042, 2151
1261, 7239, 2183
1262, 7379, 2379
1263, 7451, 2444
1264, 7571, 2345
1265, 7690, 2371
1266, 7792, 2374
1267, 7902, 2281
1268, 8035, 2162
1269, 8105, 2367
1270, 8090, 2320
1271, 8180, 2385
1272, 8256, 2342
1273, 8299, 2470
1274, 8361, 2408
1275, 8532, 2360
1276, 8560, 2482
1277, 8536, 2737
1278, 8371, 2874
1279, 8272, 2759
1280, 8231, 2788
1281, 8145, 2846
1282, 8091, 2753
1283, 8100, 2661
1284, 8027, 2949
1285, 7931, 2887
1286, 7847, 2981
1287, 7732, 2957
1288, 7553, 3108
1289, 7404, 3036
1290, 7333, 2987
1291, 7224, 3114
1292, 7081, 3347
1293, 6889, 3527
1294, 6703, 3358
1295, 6603, 3425
1296, 6455, 3473
1297, 6413, 3356
1298, 6389, 3213
1299, 6336, 3501
1300, 6191, 3395
1301, 6112, 3434
1302, 6038, 3357
1303, 5898, 3436
1304, 5785, 3321
1305, 5730, 3206
1306, 5718, 3313
1307, 5570, 3548
1308, 5361, 3698
1309, 5217, 3469
1310, 5143, 3519
1311, 5026, 3519
1312, 4944, 3407
1313, 4936, 3178
1314, 4914, 3446
1315, 4833, 3351
1316, 4800, 3370
1317, 4723, 3270
1318, 4629, 3380
1319, 4473, 3247
1320, 4469, 3146
1321, 4471, 3217
1322, 4401, 3460
1323, 4180, 3589
1324, 4049, 3355
1325, 3946, 3397
1326, 3892, 3416
1327, 3889, 3271
1328, 3890, 3079
1329, 3926, 3285
1330, 3927, 3172
1331, 3951, 3160
1332, 3966, 3034
1333, 3978, 3099
1334, 3927, 2967
1335, 4012, 2825
1336, 4110, 2822
1337, 4148, 3056
1338, 4112, 3149
1339, 4116, 2928
1340, 4224, 2918
1341, 4312, 2837
1342, 4414, 2685
1343, 4531, 2484
1344, 4660, 2688
1345, 4681, 2595
1346, 4764, 2578
1347, 4893, 2510
1348, 5011, 2598
1349, 5135, 2527
1350, 5377, 2433
1351, 5585, 2497
1352, 5663, 2740
1353, 5742, 2874
1354, 5827, 2722
1355, 6012, 2711
1356, 6178, 2666
1357, 6358, 2559
1358, 6568, 2393
1359, 6687, 2617
1360, 6706, 2536
1361, 6834, 2512
1362, 6931, 2363
1363, 7022, 2414
1364, 7134, 2345
1365, 7315, 2281
1366, 7374, 2382
1367, 7418, 2572
